tweet_id,date,priority,my_image_type,my_pages,my_text,my_confidence,my_note,verdict,fix_image_type,fix_pages,fix_text,reviewer_note,image,url
1529260655236091904,2022-05-25,CHECK,unclear,,,low,blurred close-up of inked foliage; no page number visible,Fix,page_log,,,Ch 397 p. 6 artwork,review/thumbs/1529260655236091904.jpg,https://x.com/Un4v5s8bgsVk9Xp/status/1529260655236091904
1529663083605397504,2022-05-26,,page_log,7,,high,,OK,,,,,review/thumbs/1529663083605397504.jpg,https://x.com/Un4v5s8bgsVk9Xp/status/1529663083605397504
1530022135413952512,2022-05-27,,page_log,8,,high,,OK,,,,Ch 397 p. 8 sketch,review/thumbs/1530022135413952512.jpg,https://x.com/Un4v5s8bgsVk9Xp/status/1530022135413952512
1530401076385525761,2022-05-28,,page_log,9,,high,,OK,,,,Ch 397 p. 9 sketch,review/thumbs/1530401076385525761.jpg,https://x.com/Un4v5s8bgsVk9Xp/status/1530401076385525761
1530748357731225600,2022-05-29,,page_log,10,,high,,OK,,,,Ch 397 p. 10 sketch,review/thumbs/1530748357731225600.jpg,https://x.com/Un4v5s8bgsVk9Xp/status/1530748357731225600
1531112345321078784,2022-05-30,,page_log,11,,high,,OK,,,,Ch 397 p. 11 sketch,review/thumbs/1531112345321078784.jpg,https://x.com/Un4v5s8bgsVk9Xp/status/1531112345321078784
1531471347540295680,2022-05-31,,page_log,12,,high,,OK,,,,Ch 397 p. 12 sketch,review/thumbs/1531471347540295680.jpg,https://x.com/Un4v5s8bgsVk9Xp/status/1531471347540295680
1531834543920951296,2022-06-01,,page_log,13,,high,,OK,,,,Ch 397 p. 13 sketch,review/thumbs/1531834543920951296.jpg,https://x.com/Un4v5s8bgsVk9Xp/status/1531834543920951296
1532195450983313408,2022-06-02,,page_log,14,,high,,OK,,,,Ch 397 p. 14 sketch,review/thumbs/1532195450983313408.jpg,https://x.com/Un4v5s8bgsVk9Xp/status/1532195450983313408
1532558267385188352,2022-06-03,,page_log,15 16,,high,,OK,,,,Ch 397 p. 15 16 sketch,review/thumbs/1532558267385188352.jpg,https://x.com/Un4v5s8bgsVk9Xp/status/1532558267385188352
